Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
30.04.2012;20889.77;21105.57;20889.77;21094.21;1353087200;21094.21;;;;;;;;
27.04.2012;20916.08;20929.96;20648.77;20741.45;1549824700;20741.45;;;;;;;;
26.04.2012;20753.18;20826.91;20674.94;20809.71;1113077800;20809.71;;;;;;;;
25.04.2012;20751.54;20751.82;20584.98;20646.29;1060608800;20646.29;;;;;;;;
24.04.2012;20606.17;20771.79;20534.13;20677.16;1280554500;20677.16;;;;;;;;
23.04.2012;20970.96;20970.96;20624.39;20624.39;1192054100;20624.39;;;;;;;;
20.04.2012;20933.27;21076.43;20881.62;21010.64;1079271500;21010.64;;;;;;;;
19.04.2012;20767.46;20995.01;20767.46;20995.01;1119693300;20995.01;;;;;;;;
18.04.2012;20800.21;20862.32;20715.94;20780.73;1484985400;20780.73;;;;;;;;
17.04.2012;20678.04;20678.04;20392.57;20562.31;1489108300;20562.31;;;;;;;;
16.04.2012;20516.09;20625.45;20514.09;20610.64;5036283200;20610.64;;;;;;;;
13.04.2012;20640.50;20719.04;20574.35;20701.04;2071051600;20701.04;;;;;;;;
12.04.2012;20179.72;20360.48;20138.02;20327.32;1535836200;20327.32;;;;;;;;
11.04.2012;20092.96;20188.56;20035.68;20140.67;1291420000;20140.67;;;;;;;;
10.04.2012;20387.43;20472.96;20297.39;20356.24;1243823600;20356.24;;;;;;;;
09.04.2012;0;0;0;20474.62;0;0;;;;;;;;
06.04.2012;0;0;0;20474.62;0;0;;;;;;;;
05.04.2012;20479.27;20670.20;20404.15;20593.00;1406878200;20593.00;;;;;;;;
04.04.2012;0;0;0;20691.99;0;0;;;;;;;;
03.04.2012;20704.15;20816.09;20588.20;20790.98;1371781700;20790.98;;;;;;;;
02.04.2012;20662.97;20662.97;20417.69;20522.26;1073392500;20522.26;;;;;;;;
30.03.2012;20380.06;20566.09;20374.03;20555.58;1905267600;20555.58;;;;;;;;
29.03.2012;20720.34;20720.34;20527.26;20609.39;1671524900;20609.39;;;;;;;;
28.03.2012;20959.98;20989.58;20798.09;20885.42;1502762300;20885.42;;;;;;;;
27.03.2012;20921.80;21063.38;20896.19;21046.91;1531093100;21046.91;;;;;;;;
26.03.2012;20672.37;20776.36;20580.72;20668.86;1433061700;20668.86;;;;;;;;
23.03.2012;20740.56;20742.70;20596.89;20668.80;1571090500;20668.80;;;;;;;;
22.03.2012;20886.12;20978.49;20801.79;20901.56;1173606200;20901.56;;;;;;;;
21.03.2012;20948.13;20993.48;20756.03;20856.63;1512320300;20856.63;;;;;;;;
